Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe (annualised),N Trades,N Blocked,Hit Rate (%)
VMD-ARIMA,1,22980.3609,-2.1378,7.6553,182,0,90.32
VMD-ARIMA,1',228.9119,-0.3188,2.4099,59,458,93.88
VMD-ARIMA,2,23164.7496,-2.1378,7.6694,213,0,91.33
VMD-ARIMA,2',227.9882,-0.3188,2.4045,56,458,93.62
VMD-LSTM,1,-69.144,-80.1511,-1.2643,1,0,37.74
VMD-LSTM,1',12.0162,-20.474,0.326,37,458,44.9
VMD-LSTM,2,-69.144,-80.1511,-1.2643,1,0,37.74
VMD-LSTM,2',12.0162,-20.474,0.326,37,458,44.9
CEEMDAN-ARIMA,1,95.964,-46.4307,1.009,26,0,54.84
CEEMDAN-ARIMA,1',37.7388,-17.8142,0.7199,40,458,55.1
CEEMDAN-ARIMA,2,93.8098,-46.4307,0.9955,28,0,54.69
CEEMDAN-ARIMA,2',37.7388,-17.8142,0.7199,40,458,55.1
CEEMDAN-LSTM,1,-63.827,-77.7215,-1.0677,9,0,39.35
CEEMDAN-LSTM,1',19.237,-20.474,0.445,39,458,51.02
CEEMDAN-LSTM,2,-63.827,-77.7215,-1.0677,9,0,39.35
CEEMDAN-LSTM,2',19.237,-20.474,0.445,39,458,51.02
Proposed,1,11507.1207,-5.6763,6.5037,167,0,82.58
Proposed,1',198.0465,-2.3532,2.2132,53,458,75.51
Proposed,2,10658.2996,-5.6763,6.4441,185,0,84.18
Proposed,2',199.138,-2.3532,2.2205,52,458,77.08
