,ES,ELM,SVR,RF,ARIMA,MLP,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9624,0.0,1.0
ELM,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SVR,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RF,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ARIMA,0.0,0.0,0.0,0.0,,0.0,0.0,0.9563,0.0,0.0,0.0,0.962
MLP,1.0,1.0,1.0,1.0,1.0,,0.9964,1.0,0.9168,1.0,0.8706,1.0
LSTM,1.0,1.0,1.0,1.0,1.0,0.0036,,1.0,0.0,1.0,0.0,1.0
VMD-ARIMA,0.0,0.0,0.0,0.0,0.0437,0.0,0.0,,0.0,0.0,0.0,0.0576
VMD-LSTM,1.0,1.0,1.0,1.0,1.0,0.0832,1.0,1.0,,1.0,0.0522,1.0
CEEMDAN-ARIMA,0.0376,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0
CEEMDAN-LSTM,1.0,1.0,1.0,1.0,1.0,0.1294,1.0,1.0,0.9478,1.0,,1.0
Proposed,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.9424,0.0,0.0,0.0,
