Variable,N,Mean,Std Dev,Min,Median,Max,Skewness,Kurtosis,JB stat,JB p-value,ADF stat,ADF p-value
MCX Silver (INR/kg),951,60288.7298,36276.4802,32872.0,47195.0,333292.0,3.7291,17.9294,14942.08,0.0,2.7525,1.0
Gold (USD/oz),951,1622.3027,700.2554,716.8,1388.2,5230.5,2.3916,7.1396,2926.39,0.0,6.4032,1.0
Brent (USD/bbl),951,78.0775,24.0499,21.44,75.15,146.08,0.2336,-0.7803,32.77,0.0,-2.9812,0.0367
USD/INR,951,65.4436,13.6802,39.295,66.4837,93.7075,-0.0925,-1.0208,42.65,0.0,-0.4073,0.9089
NIFTY 50,951,11137.1616,6487.7553,2584.0,8833.6,26328.55,0.8754,-0.4198,128.45,0.0,0.543,0.9861
India VIX,951,19.7318,8.9965,9.15,16.8825,70.385,2.2028,6.3607,2372.28,0.0,-3.2345,0.0181
MCX Gold (INR/10g),951,39784.0789,24763.8057,11560.0,30283.0,175231.0,2.1812,5.8727,2120.73,0.0,4.155,1.0
Geopolitical Risk,951,103.5291,55.8095,0.0,92.6004,478.5511,1.874,7.0919,2549.54,0.0,-2.9094,0.0443
Google Trends,951,4.9965,10.4828,0.0,2.3309,100.0,6.4576,46.8628,93631.09,0.0,-2.1561,0.2226
India EPU Index,946,105.2997,49.2719,23.3528,92.6492,327.4875,1.1437,1.8683,343.82,0.0,-2.5055,0.1141
