Category,Variable,Description
Target variable,mcx_silver,Daily silver price in INR/kg (forecast target)
Financial market,gold_usd,International gold price influencing silver
Financial market,brent,Crude oil price proxy affecting commodity markets
Financial market,usdinr,Exchange rate impacting domestic silver pricing
Financial market,mcx_gold,Domestic gold price linked to silver trends
Equity market,nifty50,Indian stock market index representing market conditions
Equity market,vix_india,Market volatility index capturing uncertainty
Policy / macroeconomic,india_epu,Economic policy uncertainty in India
Policy / macroeconomic,geo_risk,Global geopolitical risk indicator
Public attention,trends_raw,Google Trends index for silver-related searches
Sentiment,sentiment_silver,News-based sentiment score from GDELT
